Beaker ,Mat_line,Indiv_num,Length_mm
1,2,1,1.3417
1,2,2,1.3583
1,2,3,1.1924
1,5,1,1.1774
1,5,2,1.1835
1,5,3,1.1571
1,7,1,1.3036
1,7,2,1.4691
1,8,1,1.2214
1,8,2,1.12
1,8,3,1.2065
1,10,1,1.2269
1,10,2,1.22
1,10,3,1.0875
1,11,1,1.2923
1,12,1,1.1772
1,12,2,1.2401
1,12,3,1.2487
1,13,1,1.2723
1,13,2,1.1478
1,14,1,1.235
1,14,2,0.998
1,14,3,1.2757
1,16,1,1.3064
1,16,2,1.0601
1,16,3,1.1413
1,17,1,1.2192
1,17,2,1.2253
1,18,1,1.2024
1,18,2,1.1327
1,18,3,1.0756
1,20,1,1.2676
1,20,2,1.2337
1,20,3,1.2553
2,4,1,1.2477
2,4,2,1.2962
2,4,3,1.3439
2,6,1,1.2266
2,6,2,1.3395
2,6,3,1.281
2,9,1,1.2329
2,9,2,1.2983
2,11,1,1.2192
2,11,2,1.2467
2,11,3,1.2002
2,12,1,1.314
2,13,1,1.2098
2,13,2,1.287
2,14,1,1.202
2,14,2,1.2061
2,14,3,1.2438
2,17,1,1.3394
2,17,2,1.2467
2,17,3,1.2686
2,20,1,1.3135
2,20,2,1.2139
2,20,3,1.2641
3,2,1,1.2559
3,2,2,1.3237
3,2,3,1.3711
3,7,1,1.2345
3,7,2,1.1762
3,7,3,1.2405
3,9,1,1.1879
3,9,2,1.2461
3,11,1,1.2727
3,14,1,1.2613
3,14,2,1.3523
3,14,3,1.332
3,17,1,1.4209
3,17,2,1.3348
3,19,1,1.1393
3,19,2,1.1608
3,19,3,1.172
3,20,1,1.3107
3,20,2,1.2624
3,20,3,1.2157
4,1,1,1.1801
4,1,2,1.2359
4,1,3,1.2477
4,3,1,1.306
4,3,2,1.4471
4,3,3,1.3372
4,6,1,1.2212
4,6,2,1.0279
4,10,1,1.1922
4,10,2,1.1937
4,10,3,1.1968
4,11,1,1.3179
4,11,2,1.0224
4,11,3,1.0291
4,17,1,1.2492
4,17,2,1.2363
4,17,3,1.2003
5,1,1,1.2302
5,2,1,1.2316
5,2,2,1.1867
5,2,3,1.3254
5,4,1,1.3396
5,4,2,1.4632
5,4,3,1.0902
5,5,1,1.3429
5,5,2,1.1954
5,6,1,1.2535
5,6,2,1.2193
5,10,1,1.1626
5,10,2,1.266
5,10,3,1.1343
5,12,1,1.2748
5,12,2,1.2068
5,12,3,1.2889
5,13,1,1.264
5,13,2,1.2027
5,13,3,1.1914
5,14,1,1.3082
5,14,2,1.3002
5,14,3,1.263
5,15,1,1.2431
5,15,2,1.2595
5,15,3,1.1839
5,17,1,1.2888
5,17,2,1.1731
5,17,3,1.1776
5,18,1,1.2517
5,18,2,1.3681
5,18,3,1.4044
5,19,1,1.2572
5,19,2,1.3137
5,19,3,1.2756
6,2,1,1.1898
6,2,2,1.098
6,2,3,1.1171
6,3,1,1.1921
6,3,2,1.0471
6,3,3,1.2154
6,4,1,1.2066
6,4,2,1.1938
6,4,3,1.3028
6,5,1,1.3037
6,5,2,1.3371
6,5,3,1.2404
6,9,1,1.2901
6,9,2,1.2465
6,9,3,1.2608
6,12,1,1.3492
6,15,1,1.3246
6,15,2,1.1952
6,15,3,1.2682
6,16,1,1.2285
6,16,2,1.1786
6,16,3,1.1166
6,18,1,1.2773
6,18,2,1.341
6,18,3,1.3147
6,19,1,1.1995
6,19,2,1.2713
6,19,3,1.22
7,1,1,1.2784
7,1,2,1.3811
7,1,3,1.3353
7,2,1,1.3617
7,2,2,1.0728
7,2,3,1.3183
7,3,1,1.2181
7,3,2,1.1803
7,3,3,1.1924
7,6,1,1.3559
7,6,2,1.1354
7,6,3,1.1377
7,7,1,1.2259
7,7,2,1.2522
7,7,3,1.1941
7,8,1,1.154
7,8,2,1.1827
7,8,3,1.1563
7,10,1,1.2964
7,10,2,1.3203
7,12,1,1.1192
7,15,1,1.188
7,15,2,1.373
7,15,3,1.3322
7,16,1,1.2461
7,16,2,1.2372
7,16,3,1.1817
7,17,1,0.9859
7,17,2,1.1119
7,17,3,1.0339
7,18,1,1.0526
7,18,2,1.185
7,18,3,1.2139
7,19,1,1.2488
7,19,2,1.2926
7,19,3,1.2924
8,3,1,1.3211
8,3,2,1.336
8,3,3,1.3652
8,4,1,1.2684
8,4,2,1.4246
8,7,1,1.3245
8,8,1,1.294
8,8,2,1.1581
8,10,1,1.2552
8,10,2,1.1024
8,10,3,1.1493
8,14,1,1.2232
8,14,2,1.1687
8,14,3,1.0392
8,16,1,1.2007
8,16,2,1.1646
8,16,3,1.1219
8,17,1,1.2443
8,17,2,1.1766
8,17,3,1.1892
8,18,1,1.242
8,18,2,1.2395
8,18,3,1.3024
8,20,1,1.2339
8,20,2,1.3022
8,20,3,1.3913
9,7,1,1.3496
9,7,2,1.4126
9,7,3,1.2845
9,11,1,1.3681
9,11,2,1.0383
9,12,1,1.262
9,12,2,1.1635
9,12,3,1.2133
9,13,1,1.3472
9,13,2,1.4078
9,13,3,1.3748
9,15,1,1.3893
9,15,2,1.3308
9,15,3,1.2055
9,20,1,1.1954
9,20,2,1.2923
10,1,1,1.2895
10,1,2,1.3402
10,1,3,1.3279
10,2,1,1.2088
10,2,2,1.2301
10,2,3,1.211
10,3,1,1.3653
10,3,2,1.1659
10,3,3,1.2323
10,10,1,1.2934
10,10,2,1.2498
10,11,1,1.2976
10,11,2,1.2996
10,12,1,1.2187
10,12,2,1.2092
10,12,3,1.2779
10,14,1,1.2801
10,14,2,1.1458
10,14,3,1.1472
10,15,1,1.3181
10,15,2,1.3492
10,15,3,1.2217
10,18,1,1.2247
10,18,2,1.0832
10,18,3,1.2365
10,19,1,1.1753
10,19,2,1.2972
10,19,3,1.2363
10,20,1,1.3534
10,20,2,1.2257
10,20,3,1.167
11,3,1,1.027
11,3,2,1.2337
11,7,1,1.2356
11,12,1,1.2992
11,12,2,1.345
11,12,3,1.3024
11,16,1,1.2848
11,16,2,1.234
11,16,3,1.187
12,5,1,1.1616
12,5,2,1.3015
12,5,3,1.226
12,19,1,1.1941
12,19,2,1.2357
13,1,1,1.1886
13,1,2,1.4096
13,1,3,1.1767
13,3,1,1.0955
13,3,2,1.1651
13,3,3,1.1257
13,4,1,1.2176
13,4,2,1.1668
13,4,3,1.3133
13,5,1,1.3114
13,5,2,1.2758
13,5,3,1.3595
13,6,1,1.0949
13,6,2,1.3167
13,6,3,1.4173
13,7,1,1.2005
13,8,1,1.3692
13,8,2,1.4489
13,8,3,1.1889
13,9,1,1.2771
13,9,2,1.3867
13,9,3,1.3091
13,11,1,1.2326
13,11,2,1.202
13,11,3,1.2766
13,12,1,1.2249
13,12,2,1.1357
13,12,3,1.2563
13,13,1,1.1125
13,13,2,1.2529
13,13,3,1.0944
13,14,1,1.2146
13,14,2,1.1659
13,14,3,1.1701
13,15,1,1.1739
13,15,2,1.1502
13,15,3,1.1011
13,16,1,1.1841
13,16,2,1.2189
13,16,3,1.3298
13,19,1,1.2258
13,19,2,1.1975
13,19,3,1.2143
14,17,1,1.2355
14,17,2,1.1272
14,17,3,1.2116
14,19,1,1.3048
14,19,2,1.1214
14,19,3,1.3681
15,1,1,1.3032
15,1,2,1.4262
15,1,3,1.3161
15,2,1,1.3215
15,2,2,1.2088
15,2,3,1.251
15,5,1,1.3059
15,5,2,1.3779
15,5,3,1.2042
15,9,1,1.3344
15,9,2,1.2232
15,9,3,1.294
15,14,1,1.1997
15,14,2,1.2194
15,14,3,1.2274
15,19,1,1.2803
15,19,2,1.2974
15,19,3,1.2743
15,20,1,1.3023
15,20,2,1.0957
15,20,3,1.2046
16,1,1,1.1204
16,1,2,0.9805
16,2,1,1.303
16,2,2,1.4045
16,2,3,1.2744
16,4,1,1.177
16,4,2,1.4103
16,4,3,1.333
16,5,1,1.2648
16,5,2,1.1529
16,5,3,1.3638
16,6,1,1.1951
16,6,2,1.3786
16,13,1,1.3464
16,13,2,1.3147
17,4,1,1.3043
17,4,2,1.4426
17,4,3,1.3936
17,6,1,1.1132
17,6,2,1.3219
17,6,3,1.0782
17,8,1,1.1701
17,8,2,1.1082
17,8,3,1.2483
17,9,1,1.314
17,9,2,1.3911
17,9,3,1.3656
17,16,1,1.2527
17,16,2,1.2896
17,16,3,1.2562
17,20,1,1.2465
17,20,2,1.2386
17,20,3,1.2681
18,1,1,1.2988
18,1,2,1.2979
18,1,3,1.2474
18,2,1,1.2052
18,4,1,1.1732
18,4,2,1.2889
18,4,3,1.1838
18,7,1,1.2512
18,7,2,1.3065
18,8,1,1.2489
18,8,2,1.1907
18,9,1,1.297
18,9,2,1.2359
18,9,3,1.1351
18,13,1,1.1667
18,13,2,1.0507
18,13,3,1.1077
18,17,1,1.1713
18,17,2,1.1311
18,17,3,1.4065
18,18,1,1.0946
18,18,2,1.1956
18,18,3,1.1652
18,19,1,1.1052
18,19,2,1.3435
19,2,1,1.2803
19,2,2,1.2684
19,2,3,1.2652
19,4,1,1.142
19,4,2,1.2904
19,4,3,1.059
19,5,1,1.1902
19,5,2,1.2485
19,10,1,1.3558
19,10,2,1.2072
19,10,3,1.2974
19,14,1,1.2177
19,14,2,1.1063
19,14,3,1.0534
20,8,1,1.0685
20,8,2,1.2827
20,12,1,1.0665
20,12,2,1.3131
20,12,3,1.2781
20,13,1,1.2586
20,13,2,1.3462
20,13,3,1.2074
21,1,1,1.1474
21,3,1,1.2698
21,3,2,1.2413
21,3,3,1.1922
21,5,1,1.2552
21,5,2,1.2361
21,6,1,1.2992
21,6,2,1.1538
21,6,3,1.2442
21,7,1,1.3181
21,7,2,1.2118
21,7,3,1.3088
21,8,1,1.1293
21,8,2,1.3241
21,9,1,1.3202
21,9,2,1.2516
21,9,3,1.2448
21,11,1,1.1779
21,11,2,1.3389
21,11,3,1.2374
21,14,1,1.1949
21,14,2,1.1897
21,14,3,1.2279
21,16,1,1.1593
21,16,2,1.3751
21,20,1,1.2709
21,20,2,1.1273
21,20,3,1.3244
22,1,1,1.2937
22,1,2,1.4256
22,1,3,1.3732
22,2,1,1.2063
22,2,2,1.2466
22,2,3,1.2344
22,4,1,1.2369
22,4,2,1.3252
22,4,3,1.244
22,8,1,1.1335
22,8,2,1.184
22,8,3,1.3095
22,10,1,0.9662
22,10,2,1.1315
22,10,3,1.0679
22,13,1,1.2906
22,13,2,1.4258
22,13,3,1.3615
22,16,1,1.2696
22,16,2,1.3645
22,16,3,1.366
22,17,1,1.3321
22,17,2,1.2267
22,18,1,1.2522
22,18,2,1.181
22,18,3,1.2748
23,2,1,1.2453
23,2,2,1.2361
23,2,3,1.3029
23,6,1,1.2563
23,6,2,1.1315
23,7,1,1.1683
23,7,2,1.2018
23,7,3,1.3387
23,11,1,1.253
23,11,2,1.2502
23,11,3,1.3236
23,12,1,1.3623
23,13,1,1.1797
23,13,2,1.3167
23,19,1,1.2636
23,19,2,1.3147
23,20,1,1.2576
23,20,2,1.1475
23,20,3,1.3704
24,2,1,1.254
24,2,2,1.1871
24,2,3,1.2052
24,3,1,1.3284
24,3,2,1.3938
24,3,3,1.2949
24,5,1,1.3456
24,5,2,1.3253
24,5,3,1.2491
24,6,1,1.328
24,6,2,1.1266
24,6,3,1.0978
24,7,1,1.0715
24,7,2,1.1429
24,8,1,1.3514
24,8,2,1.238
24,8,3,1.2632
24,11,1,1.3012
24,11,2,1.1655
24,11,3,1.2965
24,15,1,1.222
24,15,2,1.2022
24,15,3,1.2649
24,16,1,1.1458
24,16,2,1.1791
24,16,3,1.2997
24,20,1,1.2884
24,20,2,1.2767
24,20,3,1.2264
25,3,1,1.2285
25,3,2,1.323
25,3,3,1.487
25,6,1,1.3014
25,6,2,1.2698
25,8,1,1.2734
25,8,2,1.2186
25,8,3,1.277
25,11,1,1.1977
25,11,2,1.1674
25,11,3,1.2674
26,2,1,1.184
26,2,2,1.2918
26,2,3,1.2434
26,3,1,1.0944
26,3,2,1.3503
26,3,3,1.0721
26,4,1,1.405
26,4,2,1.3636
26,4,3,1.1629
26,6,1,1.2059
26,6,2,1.3098
26,6,3,1.2371
26,8,1,1.2453
26,8,2,1.3792
26,8,3,1.2593
26,9,1,1.1934
26,9,2,1.1644
26,9,3,1.2584
26,12,1,1.4394
26,12,2,1.4159
26,12,3,1.405
26,18,1,1.1814
26,18,2,1.2881
26,18,3,1.2576
26,19,1,1.2592
26,19,2,1.3885
26,19,3,1.3453
27,1,1,1.3318
27,1,2,1.3503
27,1,3,1.3711
27,2,1,1.2296
27,2,2,1.181
27,2,3,1.1285
27,3,1,1.1724
27,4,1,1.4465
27,4,2,1.3538
27,4,3,1.2003
27,5,1,1.234
27,5,2,1.1857
27,5,3,1.3249
27,6,1,1.2087
27,7,1,1.1079
27,7,2,1.0068
27,12,1,1.221
27,12,2,1.1046
27,14,1,1.1749
27,15,1,1.2675
27,15,2,1.1504
27,15,3,1.147
27,16,1,1.1716
27,16,2,1.197
27,16,3,1.1572
27,17,1,1.1911
27,17,2,1.3116
27,18,1,1.3691
27,19,1,1.3078
27,19,2,1.3182
27,20,1,1.3309
27,20,2,1.2378
28,16,1,1.2696
28,16,2,1.3636
28,16,3,1.3844
29,3,1,1.1501
29,3,2,1.2466
29,3,3,1.3791
29,4,1,1.1765
29,7,1,1.3069
29,7,2,1.2776
29,7,3,1.1934
29,9,1,1.3011
29,10,1,1.203
29,10,2,1.1888
29,10,3,1.2807
29,11,1,1.3324
29,11,2,1.3622
29,11,3,1.3165
29,15,1,1.2251
29,15,2,1.3993
29,15,3,1.1765
29,19,1,1.0426
29,19,2,1.3684
29,19,3,1.4837
30,2,1,1.3794
30,2,2,1.3706
30,2,3,1.1712
30,4,1,1.3062
30,4,2,1.2942
30,4,3,1.3072
30,6,1,1.3365
30,6,2,1.3517
30,6,3,1.2752
30,9,1,1.3346
30,9,2,1.258
30,11,1,1.3139
30,11,2,1.3993
30,11,3,1.4107
30,12,1,1.3781
30,12,2,1.3367
30,12,3,1.1711
30,15,1,1.3232
30,15,2,1.241
30,15,3,1.3007
30,16,1,1.1958
30,16,2,1.3506
30,16,3,1.1605
30,18,1,1.1484
30,18,2,1.3794
